"Name","SWF","ExportName","ScaleTimeline","UseDirections","ParticleEmitter","Effect","Speed","StartHeight","StartOffset","IsBallistic","ShadowSWF","ShadowExportName","RandomHitPosition","UseRotate","DirectionFrame","PlayOnce","UseTopLayer","Scale","HitSpell","HitSpellLevel","DontTrackTarget","BallisticHeight","TrajectoryStyle","FixedTravelTime","DamageDelay","DestroyedEffect","BounceEffect","TargetPosRandomRadius","SlowdownDefencePercent"
"String","String","String","boolean","boolean","String","String","int","int","int","boolean","String","String","boolean","boolean","boolean","boolean","boolean","int","String","int","boolean","int","int","int","int","String","String","int","int"
"Cannonball","sc/buildings.sc","basic_turret_ammo",,,,,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Cannonball2","sc/buildings.sc","basic_turret_ammo2",,,,,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Cannonball4","sc/buildings.sc","basic_turret_ammo4",,,,,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Cannonball5","sc/buildings.sc","basic_turret_ammo5",,,,,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Cannonball7","sc/buildings.sc","basic_turret_ammo7",,,,,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Cannonball10","sc/buildings.sc","basic_turret_ammo10",,,,,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Cannonball12","sc/buildings.sc","basic_turret_ammo12",,,"Spark Trail",,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Cannonball13","sc/buildings.sc","basic_turret_ammo13",,,"Spark Trail B",,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Cannonball14","sc/buildings.sc","basic_turret_ammo14",,,"Spark Trail B",,1200,75,38,,,,,"true",,,,,,,,,,,,,,,
"Arrow_small","sc/characters.sc","arrow_ammo_small",,,,,1400,45,50,"true",,,,"true",,,,,,,,,,,,,,,
"Arrow_small_fire","sc/characters.sc","arrow_ammo_small_fire",,,,,1400,45,50,"true",,,,"true",,,,,,,,,,,,,,,
"Arrow_small_elixirFire","sc/characters.sc","arrow_ammo_small_elixirFire",,,,,1400,45,50,"true",,,,"true",,,,,,,,,,,,,,,
"Arrow_small_darkElixirFire","sc/characters.sc","arrow_ammo_small_darkElixirFire",,,,,1400,45,50,"true",,,,"true",,,,,,,,,,,,,,,
"Arrow_small_darkElixirFire2","sc/characters.sc","arrow_ammo_small_darkElixirFire2",,,,,1400,45,50,"true",,,,"true",,,,,,,,,,,,,,,
"Firework","sc/buildings.sc","fw_ammo",,,,,800,60,20,"true",,,,"true",,,,,,,,,,,,,,,
"Firework2","sc/buildings.sc","fw_ammo2",,,,,800,60,20,"true",,,,"true",,,,,,,,,,,,,,,
"Firework3","sc/buildings.sc","fw_ammo3",,,,,800,60,20,"true",,,,"true",,,,,,,,,,,,,,,
